Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
Brooke Army Medical Center,TX,Healthcare Provider,1000,Theft,Paper/Films,No
"Mid America Kidney Stone Association, LLC",MO,Healthcare Provider,1000,Theft,Network Server,No
Alaska Department of Health and Social Services,AK,Healthcare Provider,501,Theft,"Other, Other Portable Electronic Device",No
"Health Services for Children with Special Needs, Inc.",DC,Health Plan,3800,Loss,Laptop,No
"Mark D. Lurie, MD",CA,Healthcare Provider,5166,Theft,Desktop Computer,No
"L. Douglas Carlson, M.D.",CA,Healthcare Provider,5257,Theft,Desktop Computer,No
"David I. Cohen, MD",CA,Healthcare Provider,857,Theft,Desktop Computer,No
"Michele Del Vicario, MD",CA,Healthcare Provider,6145,Theft,Desktop Computer,No
"Joseph F. Lopez, MD",CA,Healthcare Provider,952,Theft,Desktop Computer,No
City of Hope National Medical Center,CA,Healthcare Provider,5900,Theft,Laptop,No
The Children's Hospital of Philadelphia,PA,Healthcare Provider,943,Theft,Laptop,No
"Cogent Healthcare, Inc.",TN,Business Associate,6400,Theft,Laptop,Yes
"Democracy Data & Communications, LLC (",VA,Business Associate,83000,Other,Paper/Films,Yes
Kern Medical Center,CA,Healthcare Provider,596,Theft,Other,No
"Rick Lawson, Professional Computer Services",NC,Business Associate,2000,Theft,"Desktop Computer, Electronic Medical Record, Network Server",Yes
Detroit Department of Health and Wellness Promotion,MI,Healthcare Provider,646,Theft,"Desktop Computer, Laptop",No
Detroit Department of Health and Wellness Promotion,MI,Healthcare Provider,10000,Theft,Other Portable Electronic Device,No
"University of California, San Francisco",CA,Healthcare Provider,610,Other,Email,No
Daniel J. Sigman MD PC,MA,Business Associate,1860,Theft,"Electronic Medical Record, Other, Other Portable Electronic Device",Yes
Service Benefits Plan Administrative Services Corp,DC,Business Associate,3400,Theft,Paper/Films,Yes
Massachusetts Eye and Ear Infirmary,MA,Healthcare Provider,1076,Theft,Other,No
Merkle Direct Marketing,MD,Business Associate,15000,Theft,Paper/Films,Yes
Kaiser Permanente Medical Care Program,CA,Healthcare Provider,15500,Theft,"Other, Other Portable Electronic Device",No
United Micro Data,ID,Business Associate,2562,Theft,Other,Yes
"Goodwill Industries of Greater Grand Rapids, Inc.",MI,Healthcare Provider,10000,Theft,Other,No
Children's Medical Center of Dallas,TX,Healthcare Provider,3800,Loss,"Other, Other Portable Electronic Device",No
Ashley and Gray DDS,MO,Healthcare Provider,9309,Theft,Desktop Computer,No
Concentra,TX,Healthcare Provider,900,Theft,Laptop,No
Advocate Health Care,IL,Healthcare Provider,812,Theft,Laptop,No
The Methodist Hospital,TX,Healthcare Provider,689,Theft,Other,No
"University of California, San Francisco",CA,Healthcare Provider,7300,Theft,Laptop,No
Carle Clinic Association,IL,Healthcare Provider,1300,Theft,"Other, Paper/Films",No
Health Behavior Innovations (HBI),UT,Business Associate,5700,Theft,Other,Yes
Center for Neurosciences,AZ,Healthcare Provider,1100,Theft,Laptop,No
Blue Cross Blue Shield of RI,RI,Business Associate,528,Other,Paper/Films,Yes
MSO of Puerto Rico,PR,Business Associate,605,Theft,Paper/Films,Yes
"MSO of Puerto Rico, Inc. ",PR,Business Associate,1907,Theft,Paper/Films,Yes
Cardiology Consultants/Baptist Health Care Corporation,FL,Healthcare Provider,8000,Theft,Desktop Computer,No
"State of TN, Bureau of TennCare",TN,Health Plan,3900,Theft,Paper/Films,No
Lucille Packard Children's Hospital,CA,Healthcare Provider,532,Other,Desktop Computer,No
University of New Mexico Health Sciences Center,NM,Healthcare Provider,1900,Other,Desktop Computer,No
Advanced NeuroSpinal Care,CA,Healthcare Provider,3500,Theft,Network Server,No
"Central Brooklyn Medical Group, PC",NY,Healthcare Provider,500,Theft,Paper/Films,No
Shands at UF,FL,Healthcare Provider,12580,Theft,Laptop,No
Wyoming Department of Health,WY,Health Plan,9023,,Network Server,No
Thrivent Financial for Lutherans,WI,Health Plan,9500,Theft,Laptop,No
North Carolina Baptist Hospital,NC,Healthcare Provider,554,Theft,Paper/Films,No
Montefiore Medical Center,NY,Healthcare Provider,625,Theft,Laptop,No
"Ernest T. Bice, Jr. DDS, P.A.",TX,Healthcare Provider,21000,Theft,"Other, Other Portable Electronic Device",No
Lee Memorial Health System,FL,Healthcare Provider,3800,Other,Paper/Films,No
"Laboratory Corporation of America/Dynacare Northwest, Inc.",WA,Healthcare Provider,5080,Theft,Laptop,No
Mount Sinai Medical Center,FL,Healthcare Provider,2600,Theft,Laptop,No
Griffin Hospital,CT,Healthcare Provider,957,Hacking/IT Incident,Network Server,No
"Hypertension, Nephrology, Dialysis and Transplantation, PC",AL,Healthcare Provider,2465,Theft,Laptop,No
"Computer Program and Systems, Inc. (CPSI)",AL,Business Associate,768,,Email,Yes
"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,Healthcare Provider,2773,Theft,Other Portable Electronic Device,No
University of Pittsburgh Student Health Center,PA,Healthcare Provider,8000,"Loss, Theft",Paper/Films,No
VHS Genesis Lab Inc. ,IL,Healthcare Provider,6800,Loss,Paper/Films,No
Providence Hospital,MI,Healthcare Provider,83945,Other,Other,No
Pediatric Sports and Spine Associates,TX,Healthcare Provider,955,Theft,Laptop,No
"McKesson Information Solutions, LLC",GA,Business Associate,660,Other,Paper/Films,Yes
"Affinity Health Plan, Inc.",NY,Health Plan,344579,Theft,Other,No
Tomah Memorial Hospital,WI,Healthcare Provider,600,Other,Other,No
"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",CT,Healthcare Provider,54165,Theft,Laptop,No
Massachusetts Eye and Ear Infirmary,MA,Healthcare Provider,3594,Theft,Laptop,No
Blue Cross & Blue Shield of Rhode Island,RI,Health Plan,12000,Theft,Paper/Films,No
South Carolina Department of Health and Environmental Control,SC,Health Plan,2850,Improper Disposal,Paper/Films,No
St. Joseph Heritage Healthcare,CA,Healthcare Provider,22012,Theft,Desktop Computer,No
John Muir Physician Network,CA,Healthcare Provider,5450,Theft,Laptop,No
Medical Center At Bowling Green,KY,Healthcare Provider,5148,Theft,"Other, Other Portable Electronic Device",No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,735,Theft,"Other, Paper/Films",No
TOWERS WATSON,VA,Business Associate,1874,Theft,Other,Yes
