Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information
Brooke Army Medical Center,TX,,1000,Theft,Paper
"Mid America Kidney Stone Association, LLC",MO,,1000,Theft,Network Server
Alaska Department of Health and Social Services,AK,,501,Theft,"Other Portable Electronic Device, Other"
"Health Services for Children with Special Needs, Inc.",DC,,3800,Loss,Laptop
"L. Douglas Carlson, M.D.",CA,,5257,Theft,Desktop Computer
"David I. Cohen, MD",CA,,857,Theft,Desktop Computer
"Michele Del Vicario, MD",CA,,6145,Theft,Desktop Computer
"Joseph F. Lopez, MD",CA,,952,Theft,Desktop Computer
"Mark D. Lurie, MD",CA,,5166,Theft,Desktop Computer
City of Hope National Medical Center,CA,,5900,Theft,Laptop
The Children's Hospital of Philadelphia,PA,,943,Theft,Laptop
"Cogent Healthcare of Wisconsin, S.C.",TN,,6400,Theft,Laptop
Universal American,NY,"Democracy Data & Communications, LLC (",83000,Other,Paper
Kern Medical Center,CA,,596,Theft,Other
"Keith W. Mann, DDS, PLLC",NC,"Rick Lawson, Professional Computer Services",2000,Hacking/IT Incident,"Desktop Computer, Network Server, Electronic Medical Record"
Detroit Department of Health and Wellness Promotion,MI,,10000,Theft,Other Portable Electronic Device
Detroit Department of Health and Wellness Promotion,MI,,646,Theft,"Laptop, Desktop Computer"
"University of California, San Francisco",CA,,610,Other,E-mail
Daniel J. Sigman MD PC,MA,,1860,Theft,"Other Portable Electronic Device, Other, Electronic Medical Record"
Massachusetts Eye and Ear Infirmary,MA,,1076,Theft,Other
BlueCross BlueShield Association,DC,Service Benefits Plan Administrative Services Corp,3400,Theft,Paper
BlueCross BlueShield Association,DC,Merkle Direct Marketing,15000,Theft,Paper
Kaiser Permanente Medical Care Program,CA,,15500,Theft,"Other Portable Electronic Device, Other"
Blue Island Radiology Consultants,IL,United Micro Data,2562,Theft,Other
"Goodwill Industries of Greater Grand Rapids, Inc.",MI,,10000,Theft,Other
Children's Medical Center of Dallas,TX,,3800,Loss,"Other Portable Electronic Device, Other"
Concentra,TX,,900,Theft,Laptop
Ashley and Gray DDS,MO,,9309,Theft,Desktop Computer
Advocate Health Care,IL,,812,Theft,Laptop
The Methodist Hospital,TX,,689,Theft,Other
"University of California, San Francisco",CA,,7300,Theft,Laptop
Carle Clinic Association,IL,,1300,Theft,"Other, Paper"
Educators Mutual Insurance Association of Utah ,UT,Health Behavior Innovations (HBI),5700,Theft,Other
University Medical Center of Southern Nevada,NV,,5103,Theft,Paper
Center for Neurosciences,AZ,,1100,Theft,Laptop
Brown University,RI,Blue Cross Blue Shield of RI,528,Other,Paper
MMM Heath Care Inc. ,PR,"MSO of Puerto Rico, Inc. ",1907,Theft,Paper
PMC Medicare Choice,PR,MSO of Puerto Rico,605,Theft,Paper
Cardiology Consultants/Baptist Health Care Corporation,FL,,8000,Theft,Desktop Computer
"State of TN, Bureau of TennCare",TN,,3900,Theft,Paper
Lucille Packard Children's Hospital,CA,,532,Other,Desktop Computer
University of New Mexico Health Sciences Center,NM,,1900,Other,Desktop Computer
Advanced NeuroSpinal Care,CA,,3500,Theft,Network Server
Aspen Dental Care P.C.,CO,,2500,Theft,Other
Shands at UF,FL,,12580,Theft,Laptop
Wyoming Department of Health,WY,,9023,Unauthorized Access/Disclosure ,Network Server
Thrivent Financial for Lutherans,WI,,9500,Theft,Laptop
North Carolina Baptist Hospital,NC,,554,Theft,Paper
Montefiore Medical Center,NY,,625,Theft,Laptop
"Ernest T. Bice, Jr. DDS, P.A.",TX,,21000,Theft,"Other Portable Electronic Device, Other"
Lee Memorial Health System,FL,,3800,Other,Paper
"Laboratory Corporation of America/Dynacare Northwest, Inc.",WA,,5080,Theft,Laptop
Mount Sinai Medical Center,FL,,2600,Theft,Laptop
Griffin Hospital,CT,,957,Hacking/IT Incident,Network Server
"Hypertension, Nephrology, Dialysis and Transplantation, PC",AL,,2465,Theft,Laptop
Reliant Rehabilitation Hospital North Houston,TX,"Computer Program and Systems, Inc. (CPSI)",768,Unauthorized Access/Disclosure ,E-mail
"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,,2773,Theft,Other Portable Electronic Device
University of Pittsburgh Student Health Center,PA,,8000,"Theft, Loss",Paper
Providence Hospital,MI,,83945,Other,Other
VHS Genesis Lab Inc. ,IL,,6800,Loss,Paper
John Muir Physician Network,CA,,5450,Theft,Laptop
Beatrice Community Hospital and Health Center,NE,"McKesson Information Solutions, LLC",660,Other,Paper
Pediatric Sports and Spine Associates,TX,,955,Theft,Laptop
"Affinity Health Plan, Inc.",NY,,344579,Theft,Other
Tomah Memorial Hospital,WI,,600,Other,Other
"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",CT,,54165,Theft,Laptop
Massachusetts Eye and Ear Infirmary,MA,,3594,Theft,Laptop
Blue Cross & Blue Shield of Rhode Island,RI,,12000,Theft,Paper
South Carolina Department of Health and Environmental Control,SC,,2850,Improper Disposal,Paper
St. Joseph Heritage Healthcare,CA,,22012,Theft,Desktop Computer
Medical Center At Bowling Green,KY,,5148,Theft,"Other Portable Electronic Device, Other"
GENERAL AGENCIES WELFARE BENEFITS PROGRAM,TN,TOWERS WATSON,1874,Loss,Other
UnitedHealth Group health plan single affiliated covered entity,MN,,735,Theft,"Other, Paper"
South Texas Veterans Health Care System,TX,,1430,"Loss, Improper Disposal",Paper
Rockbridge Area Community Services,VA,,500,Theft,"Laptop, Desktop Computer"
"Emergency Healthcare Physicians, Ltd.",IL,"Millennium Medical Management Resources, Inc.",180111,Theft,"Other Portable Electronic Device, Other"
VA Eastern Colorado Health Care System,CO,,649,Theft,Paper
Miami VA Healthcare System,FL,,568,Loss,Paper
"Heriberto Rodriguez-Ayala, M.D.",TX,,4200,Theft,Laptop
Georgetown University Hospital,DC,,2416,"Theft, Other","E-mail, Other Portable Electronic Device"
Silicon Valley Eyecare Optometry and Contact Lenses,CA,,40000,Theft,Network Server
Loma Linda University Health Care,CA,,584,Theft,Desktop Computer
Veterans Health Administration,DC,Heritage Health Solutions,656,Theft,Laptop
"State of New Mexico Human Services Department, Medical Assistance Division",NM,DentaQuest,9600,Theft,Laptop
Oconee Physician Practices,SC,,653,Theft,Laptop
University of Rochester Medical Center and Affiliates,NY,,2628,Other,Paper
Omaha Construction Industry Health and Welfare Plan,NE,DeBoer & Associates,800,Theft,Laptop
"City of Charlotte, NC (Health Plan)",NC,,5220,Loss,Other
VA North Texas Health Care System,TX,,4083,Improper Disposal,Paper
Rainbow Hospice and Palliative Care,IL,,1000,Theft,Laptop
Cincinnati Childrens Hospital Medical Center ,OH,,60998,Theft,Laptop
Occupational Health Partners,KS,,1105,Theft,Laptop
"AvMed, Inc.",FL,,1220000,Theft,Laptop
UnitedHealth Group health plan single affiliated covered entity,MN,,16291,Other,Paper
Lincoln Medical and Mental Health Center,NY,"Siemens Medical Solutions, USA, Inc",130495,Theft,Other
"Nihal Saran, MD ",MI,,2300,Theft,Laptop
"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",KY,,708,Hacking/IT Incident,Network Server
St. Jude Children's Research Hospital,TN,,1745,Loss,Laptop
TennCare,TN,DentaQuest,10515,Theft,Laptop
The Children's Medical Center of Dayton,OH,,1001,Other,E-mail
Comprehensive Care Management Corporation,NY,,1020,Theft,"Laptop, Desktop Computer, Network Server, E-mail"
alma aguado md pa,TX,,600,Theft,Network Server
University Hospital,GA,"Augusta Data Storage, Inc",14000,Loss,Other
University Health System,NV,,7526,Theft,Network Server
"Sinai Hospital of Baltimore, Inc.",MD,"Aramark Healthcare Support Services, LLC",937,Other,E-mail
"Mary M. Desch,MD/PathHealer, LTD",AZ,,5893,Theft,Laptop
Children's Hospital & Research Center at Oakland,CA,,1000,Other,Paper
Centerstone,TN,,1537,Other,"Desktop Computer, Paper"
California Department of Healthcare Services,CA,Care 1st Health Plan,29000,"Loss, Other","Other Portable Electronic Device, Other"
Long Island Consultation Center,NY,,800,Theft,"Other Portable Electronic Device, Other"
NYU Hospitals Center,NY,,2563,Theft,Other Portable Electronic Device
University of Florida,FL,,2047,Other,Paper
SunBridge Healthcare Corporation,NM,,3830,Theft,Laptop
Department of Health Care Policy & Financing,CO,Governor's Office of Information Technology,105470,Theft,Desktop Computer
Prince William County Community Services (CS),VA,,669,Theft,Other Portable Electronic Device
"E. Brooks Wilkins Family Medicine, PA",NC,,13000,Theft,"Desktop Computer, Other"
