Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
0,0.0,0.0,6.345217926509686e-06,0.0,0.0,0
1,1.0,0.0,6.345217926509686e-06,0.0,1.0,0
2,2.0,0.0,1.2690435853019372e-08,0.0,2.0,0
3,3.0,1.0,4.187843831496393e-05,1.0,3.0,0
4,4.0,0.0,5.921357369018839e-05,0.0,4.0,0
5,4.0,0.0,6.0368403352813154e-05,0.0,4.0,0
6,4.0,0.0,4.530485599527916e-06,0.0,4.0,0
7,4.0,0.0,7.163751039029435e-05,0.0,4.0,0
8,4.0,0.0,5.736077005564756e-06,0.0,4.0,0
9,4.0,0.0,6.85283536063046e-05,0.0,3.0,0
10,5.0,0.0,5.621863082887582e-06,0.0,3.0,0
11,6.0,2.0,7.487357153281429e-05,0.0,3.0,1
12,7.0,2.0,0.0010469609578740982,2.0,0.0,1
13,4.0,0.0,1.2182818418898597e-06,0.0,5.0,0
14,8.0,2.0,1.903565377952906e-05,0.0,6.0,1
15,9.0,0.0,1.8528036345408283e-06,0.0,7.0,0
16,9.0,0.0,0.00012055914060368403,0.0,8.0,0
17,4.0,0.0,1.3959479438321309e-06,2.0,9.0,0
18,10.0,2.0,1.7258992760106347e-05,0.0,10.0,1
19,3.0,2.0,3.680226397375618e-05,0.0,0.0,1
20,10.0,0.0,7.309691051339158e-06,0.0,5.0,0
21,11.0,2.0,0.0001840113198687809,0.0,0.0,1
22,4.0,0.0,0.0001903565377952906,0.0,2.0,0
23,12.0,2.0,2.6167678728925946e-05,0.0,5.0,1
24,9.0,0.0,0.00012055914060368403,0.0,5.0,0
25,0.0,0.0,4.187843831496393e-05,1.0,2.0,0
26,1.0,0.0,0.00011179004942924765,0.0,4.0,0
27,0.0,0.0,5.076174341207749e-06,0.0,3.0,0
28,13.0,0.0,3.959415986142044e-06,0.0,3.0,0
29,0.0,0.0,2.3984923762206613e-06,0.0,5.0,0
30,4.0,0.0,8.629496380053173e-05,0.0,3.0,0
31,13.0,0.0,1.0152348682415498e-05,0.0,11.0,0
32,14.0,2.0,6.599026643570073e-05,0.0,5.0,1
33,15.0,0.0,7.6142615118116235e-06,0.0,3.0,0
34,16.0,2.0,3.553322038845424e-07,2.0,0.0,1
35,17.0,2.0,1.332495764567034e-06,0.0,0.0,1
36,17.0,2.0,1.7855443245198257e-05,0.0,0.0,1
