Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
0,0.0,0,9.669985651550067e-05,0,0,0
1,1.0,1,9.513457106830732e-05,1,1,0
2,2.0,1,0.00019253011000478282,1,2,0
3,3.0,1,0.0007435105874168442,0,0,1
4,4.0,1,0.009070655245880256,0,1,0
5,5.0,0,4.7741206139397363e-05,0,0,1
6,6.0,1,8.696030262185313e-06,1,1,0
7,7.0,1,1.4783251445715031e-06,1,1,0
8,3.0,1,1.3739727814252793e-05,1,3,1
9,8.0,1,1.2348362972303143e-05,0,0,1
10,9.0,1,0.0022704465411539634,0,1,0
11,10.0,1,3.539284316709422e-05,1,1,0
12,11.0,1,0.0034003217531197007,0,0,1
13,4.0,1,0.005643984521066133,0,0,0
14,12.0,1,0.0029895212835340666,0,0,0
15,6.0,1,0.0,2,Paper/Films,0
16,13.0,1,0.00019270403061002653,0,5,0
17,0.0,1,0.00019522587938606027,0,0,0
18,14.0,1,1.887038566894213e-05,3,Paper/Films,0
19,15.0,1,0.00013626679420844384,0,0,1
20,16.0,2,0.01795730249141267,0,0,1
21,17.0,1,0.000924822818383408,1,6,0
22,1.0,1,0.0033664941953998,0,1,0
23,18.0,1,0.01168798643419279,0,1,0
24,19.0,0,0.004304534979781729,0,0,1
25,20.0,1,0.00012826644636723336,0,0,0
26,7.0,2,0.004304534979781729,0,0,1
27,14.0,0,0.0023383625375016305,0,0,1
28,3.0,1,3.243619287795121e-05,0,0,0
29,13.0,2,4.4175833731901385e-05,0,0,1
30,19.0,2,0.0032946649854341493,0,0,1
31,17.0,0,0.0002062698378190356,1,Paper/Films,0
32,21.0,1,0.0007109004739336493,0,0,0
33,22.0,0,0.0029072568372537936,0,0,0
34,6.0,1,0.00047680333927562065,0,1,0
35,6.0,1,4.2958389495195446e-05,1,1,0
36,23.0,2,8.130788295143267e-05,1,6,1
37,23.0,1,0.0061152224009739554,1,1,0
38,17.0,1,0.0009554328449063003,0,1,0
39,0.0,2,1.5218052958824296e-05,0,1,1
40,1.0,1,0.008694899778251228,0,1,0
41,24.0,1,3.478412104874125e-05,1,1,0
42,6.0,1,0.0001409626505500239,1,7,0
43,25.0,1,0.00010200443497543372,3,Paper/Films,0
44,26.0,1,9.087351623983652e-05,0,1,0
45,27.0,0,0.0054306708987347276,1,0,1
46,20.0,1,0.000314970216096352,0,1,0
47,13.0,1,0.12816070263924517,0,0,0
48,6.0,1,3.478412104874125e-05,2,Paper/Films,0
49,6.0,1,6.0872211835297184e-05,2,Paper/Films,0
50,0.0,1,0.00405913300578286,0,1,0
51,0.0,1,0.00010861341797469455,0,1,0
52,28.0,1,0.0,0,0,0
53,1.0,1,0.0003478412104874125,0,0,0
54,13.0,0,0.004272881429627375,0,1,0
55,1.0,1,3.2784034088438625e-05,1,7,0
56,14.0,1,0.008652550110874386,0,0,0
57,25.0,1,0.0007411626592460542,0,0,0
58,29.0,1,0.0029131701378320796,0,8,0
59,25.0,1,5.669811730944824e-05,0,0,0
60,9.0,1,8.296012870124788e-05,1,6,0
61,28.0,1,1.5391973564068002e-05,0,0,1
62,17.0,1,0.0006322883603634941,0,1,0
63,6.0,2,0.0025637636418974737,0,6,1
64,30.0,1,0.006835079786077655,0,8,0
65,0.0,1,0.0001864428888212531,0,1,0
66,31.0,1,0.000539936518979086,0,1,0
67,17.0,1,0.0030945693291012655,0,1,1
68,1.0,1,0.0002730553502326188,1,6,0
69,17.0,0,0.0016087655985042829,0,1,0
70,6.0,1,0.0013131005695899822,0,0,0
71,1.0,1,0.0021938345145441104,1,0,0
72,1.0,2,0.0005826340275664159,0,0,1
73,22.0,2,0.0009179529544762816,0,1,1
74,31.0,1,0.004304534979781729,0,0,1
75,8.0,1,0.00028714291925735903,0,9,1
76,25.0,1,0.0004782816644201922,0,1,0
77,32.0,1,0.00011191790947432497,1,7,0
78,25.0,0,0.30431757902517503,0,0,1
79,25.0,1,0.0007520326970737858,1,7,0
80,8.0,1,0.00015252837079873037,0,1,1
81,13.0,1,0.0001676594634549328,0,1,0
82,20.0,1,0.0007119439975651115,0,0,1
83,20.0,2,0.00011852689247358581,1,Paper/Films,1
