State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
0.0,0,0.0022704465411539634,0,0,0
1.0,0,3.539284316709422e-05,1,0,0
2.0,0,0.0029895212835340666,0,1,0
3.0,0,0.0,2,2,0
4.0,0,0.00019270403061002653,0,3,0
5.0,0,1.887038566894213e-05,3,2,0
6.0,0,0.00013626679420844384,0,1,1
7.0,1,0.01795730249141267,0,1,1
8.0,0,0.0024486282012261404,0,1,0
9.0,0,0.000924822818383408,1,4,0
10.0,0,0.0033664941953998,0,0,0
11.0,0,0.01168798643419279,0,0,0
12.0,2,0.004304534979781729,0,1,1
13.0,0,0.00012826644636723336,0,1,0
14.0,1,0.004304534979781729,0,1,1
5.0,2,0.0023383625375016305,0,1,1
15.0,0,3.243619287795121e-05,0,1,0
4.0,1,4.4175833731901385e-05,0,1,1
12.0,1,0.0032946649854341493,0,1,1
9.0,2,0.0002062698378190356,1,2,0
16.0,0,0.0007109004739336493,0,1,0
17.0,2,0.0029072568372537936,0,1,0
3.0,0,0.00047680333927562065,0,0,0
18.0,1,8.130788295143267e-05,1,4,1
18.0,0,0.0061152224009739554,1,0,0
9.0,0,0.0009554328449063003,0,0,0
8.0,1,1.5218052958824296e-05,0,0,1
10.0,0,0.008694899778251228,0,0,0
19.0,0,3.478412104874125e-05,1,0,0
3.0,0,0.0001409626505500239,1,5,0
20.0,0,0.00010200443497543372,3,2,0
21.0,0,9.087351623983652e-05,0,0,0
22.0,2,0.0054306708987347276,1,1,1
13.0,0,0.000314970216096352,0,0,0
4.0,0,0.03196660724379321,0,1,0
3.0,0,3.478412104874125e-05,2,2,0
3.0,0,6.0872211835297184e-05,2,2,0
8.0,0,0.00405913300578286,0,0,0
8.0,0,0.00010861341797469455,0,0,0
23.0,0,0.0,0,1,0
10.0,0,0.0003478412104874125,0,1,0
4.0,2,0.004272881429627375,0,0,0
10.0,0,3.2784034088438625e-05,1,5,0
5.0,0,0.008652550110874386,0,1,0
20.0,0,0.0007411626592460542,0,1,0
24.0,0,0.0029131701378320796,0,6,0
20.0,0,5.669811730944824e-05,0,1,0
0.0,0,8.296012870124788e-05,1,4,0
23.0,0,1.5391973564068002e-05,0,1,1
9.0,0,0.0006322883603634941,0,0,0
3.0,1,0.0025637636418974737,0,4,1
25.0,0,0.006835079786077655,0,6,0
8.0,0,0.0001864428888212531,0,0,0
26.0,0,0.000539936518979086,0,0,0
9.0,0,0.0030945693291012655,0,0,1
10.0,0,0.0002730553502326188,1,4,0
9.0,2,0.0016087655985042829,0,0,0
3.0,0,0.0013131005695899822,0,1,0
10.0,0,0.0021938345145441104,1,1,0
10.0,1,0.0005826340275664159,0,1,1
17.0,1,0.0009179529544762816,0,0,1
26.0,0,0.004304534979781729,0,1,1
27.0,0,0.00028714291925735903,0,7,1
20.0,0,0.0004782816644201922,0,0,0
20.0,2,0.30431757902517503,0,1,1
20.0,0,0.0007520326970737858,1,5,0
27.0,0,0.00015252837079873037,0,0,1
4.0,0,0.0001676594634549328,0,0,0
13.0,0,0.0007119439975651115,0,1,1
13.0,1,0.00011852689247358581,1,2,1
28.0,1,0.0012982303578416452,0,0,1
10.0,0,8.696030262185313e-06,1,0,0
20.0,0,0.0011530066524631506,0,5,0
17.0,0,0.00010261315709378668,1,0,0
29.0,2,8.391669203008826e-05,1,2,0
15.0,0,0.00011304839340840906,0,0,0
1.0,2,3.4697160746119395e-05,0,1,0
14.0,0,1.2870124788034263e-05,0,1,1
7.0,1,1.4609330840471325e-05,1,1,1
9.0,2,9.565633288403843e-06,0,1,0
10.0,0,0.0556490282186182,0,1,0
30.0,0,8.174268446454193e-05,0,0,0
1.0,0,2.2609678681681814e-05,1,5,0
1.0,2,6.79159963476673e-05,1,1,1
31.0,0,0.0003038392973607548,0,0,0
10.0,0,0.0017641636592895342,0,0,0
15.0,0,1.704421931388321e-05,0,0,1
20.0,0,0.00016000695682420976,3,8,0
20.0,0,0.0,0,9,0
7.0,0,0.00017765989825644594,0,0,0
23.0,0,0.00039132136179833904,1,10,0
20.0,0,0.0,0,1,0
32.0,0,0.016458193834514544,0,0,0
31.0,0,0.11031557893821471,0,0,1
33.0,2,0.0009989999565198488,1,2,1
34.0,0,0.0013556241575720684,1,0,0
27.0,1,0.0006595938953867559,0,0,1
26.0,0,0.00017392060524370624,0,1,0
3.0,0,5.4089308230792645e-05,1,4,0
13.0,2,0.0057719031262228795,0,0,0
31.0,0,0.0005741119179094743,0,1,0
20.0,2,0.00030010000434801514,0,1,0
15.0,0,0.0003108830818731249,0,0,0
35.0,0,0.00027896865081090483,0,0,0
9.0,0,0.00023992347493369276,0,0,0
31.0,0,0.00020435671116135484,0,0,0
18.0,2,0.004340188703856689,0,11,1
14.0,2,4.521935736336363e-05,1,2,1
25.0,2,0.0002559241706161137,1,2,1
5.0,2,1.5652854471933561e-06,1,2,1
10.0,2,0.00028244706291577894,1,2,1
4.0,2,9.217792077916431e-06,1,2,1
20.0,2,0.0002547067263794078,1,2,1
36.0,0,0.004909169963911475,0,1,1
3.0,1,0.01199199965215879,0,1,1
37.0,0,9.861298317318144e-05,1,0,0
12.0,2,0.00046028088177746857,0,1,1
38.0,2,2.252271837905996e-05,1,2,1
25.0,0,6.287229879559981e-05,0,1,0
15.0,0,0.0004306274185834167,0,1,0
33.0,2,2.8522979259967826e-05,0,1,0
20.0,0,0.00637636418974738,0,1,0
6.0,1,0.00024496717248576023,3,2,1
37.0,2,0.042058959085177615,0,0,1
3.0,2,0.019522587938606027,0,0,0
17.0,0,0.0006522022696638985,0,1,0
18.0,2,7.304665420235663e-05,1,0,1
5.0,0,0.011879646941171355,0,1,0
24.0,2,3.1305708943867123e-06,1,0,0
23.0,0,0.009942519239966955,0,1,0
31.0,0,0.0005478499065176747,0,12,0
23.0,2,0.012983521022653158,0,0,0
20.0,1,0.11219357363363625,0,0,1
